"ID","Inquiry","CASENUMBER","COMMENTSCREATEON","ANALYSTNAMEFORCOMMENT","ACTIVITYTYPE","NOTETEXT"
385,"PE14-030","CAS-3180817-T5W7H9","2013-09-11 13:33:33",,"CASE","By Rick Maxey  - Cust states her daughter was driving the vehicle on Sunday and when she went to change lanes from the left lane to the right lane, the steering system locked and would not allow her to turn. Cust states her daughter also said that the brakes got very hard and she could not brake either. Cust states her daughter hit a curb on the right side and blew out both right side tires. Vehicle towed to dealership for inspection. Dealer raised vehicle to inspect. No visible damage to steering or body. Damage is to both right side tires, both right side wheels, and 1 rt side hubcap. Damage is on sidewall of tires and outer edge of rims. Dealer connected scanner to vehicle and no codes stored. Dealer placed a loaner set of rims and tires on vehicle and drove for 30 miles with scanner to monitor if any failure of electric steering would occur. Vehicle drove fine. Dealer advised customer that no failure of steering was found . No codes and no defective parts. Dealer also reviewed for any bulletins . No bulletins based on the build date of this vehicle. Dealer discussed with customer that brakes and steering are independent of one another. Electric steering failure would not cause brakes to get hard and any brake issue would not causing steering to lock. In failure of electric steering, manual steering is still present. Cust insists that her daughter would not give her any incorrect information and she is not wanting to turn it into her insurance. She feels Ford should resolve her repairs under a warranty repair. Dealer has advised cust that she needs to contact her insurance."
386,"PE14-030","CAS-3180817-T5W7H9","2013-09-11 14:22:58",,"CASE","csm Rachel x77794 agrees with dealer no concern has been found and concern is not warrantable at this time -- customer will need to contact her insurance company- no assistance from ford"
403,"PE14-030","CAS-3267880-X0H6J1","2013-09-24 17:05:29",,"CASE","CUST SAY:....-CUST HAS HAD NO STOP PROBLEMS WITH THE VEHICLE....-CUST HAS HAD TO REPLACED RACK AND PINION..-BRAKES..-THROTTLE BODY..-AXLE..-NOW THE ENGINE LIGHT IS ON ..-CUST WA TOLD IT MAY HAVE SOMETHING TO DO WITH THE FUEL INTAKE......CRC ADVISED:....Thank you for providing Ford Motor Company with your comments; your opinions are valuable to us. I have documented your experience and will forward your information to the marketing department."
457,"PE14-030","CAS-3398578-D9D9G7","2013-10-18 16:28:43",,"CASE","VEHICLE INFORMATION:..VIN: 3FAHP0JA7CRXXXXXX..YEAR/MODEL: 2012 FORD FUSION..MILES: 23,000....CUST SAYS:..-BOUGHT CAR (CPO VEHICLE UNDER WARRANTY) FOR DAUGHTER, (REDACTED)..-ON SUNDAY 10/13/2013 VEHICLE'S POWER STEERING FUNCTION CEASED AND CAUSED VEHICLE TO COLLIDE WITH SIDE RAIL ON ROAD..-CUSTOMER SEEKING COMPENSATION..-NO INJURIES WERE SUSTAINED....What was the date of the accident? 10/13/2013..What product defect is alleged to have caused the accident? power steering function.. What is the City and State where the accident occurred? Shepherdsville, KY.. Was a police report filed? No.. If a police report was filed, what were the findings? Not Applicable.. What is the police report number and in what city and county was the report filed? Not Applicable..Has the customer filed a claim with their Insurance Company? NO.. If a claim has been filed with the insurance company, what is the status of the claim? Not Applicable..Is the vehicle repairable? Yes..What is the name and address of customer's attorney? (only if the customer mentions they have sought one) No Attorney..What mailing address would you like our Office of General Council to send your written response to?....154 JESSICA COURT..SHEPHERDSVILLE, KY 40165......CRC ADVISED: I will forward your information to Ford's Office of the General Counsel. You should receive a written response within 15 Days business days to your concern."
460,"PE14-030","CAS-3412574-M3R8N7","2013-10-22 13:09:23",,"CASE","-CUCT SAID ..Accidents ..DRIVING AT 40-45 AND THE STEERING WENT OUT ..-CUST WENT INTO A DITCH AND ROAD THE DITCH AND HIT A TREE ..VEH IS AT A BODY SHOP COLLISION PLUS IN DRY RIDGE KY ....1. Were any injuries sustained? CUST HURT HIS NECK AND BACK AND BRUISES EVERYWHERE ..-THE RIGHT KNEE HAD HIT THE DASH AND WAS CUT OPEN ..- Please provide the first and last name of all injured parties. RODNEY VOLAND ..2. What are you seeking from Ford Motor Company?..- Compensation/Financial Reimbursement - Proceed with opening a OGC Legal Case..- Not Sure (customer unsure of what they want from FMC) - Proceed with opening a OGC Legal Case..- Nothing - just called Ford to advise us of the accident/fire. ..a) If the answer is nothing and no injuries were sustained, an OGC legal case should not be run. Follow the Feedback/Product/Negative or Positive case classification path. ..b) If the answer is nothing and injuries were sustained, an OGC legal case is required ..3. What was the date of the accident? 09/25/13..4. What product defect is alleged to have caused the accident? STEERING WENT OUT ..5. What is the City and State where the accident occurred? WILLIAMSTOWN KY ..6. Was a police report filed? YES ..7. If a police report was filed, what were the findings? HE DOES NOT KNOW ..8. What is the police report number and in what city and county was the report filed? WILLIAMSTOWN KY GRANT COUNTY POLICE REPORT NUMBER IS (REDACTED) Has the customer filed a claim with their Insurance Company? (Yes or No)YES..10. If a claim has been filed with the insurance company, what is the status of the claim? ONLY LIABILITY ..11. Is the vehicle repairable? DOES NOT KNOW..12. What is the name and address of customer's attorney? (only if the customer mentions they have sought one)..13. What mailing address would you like our Office of General Council to send your written response to? (You must ..document the full address in the case Notes) ..295 TURNER RD WILLIAMSTOWN KY 41097 ..-DRLSHP INFO..Airport Ford..8001 Burlington Pike..Florence, KY 41042..(859) 371-4750..-CRC ADVISED ..I will forward your information to Ford's Office of the General Counsel. You should receive a written response within 15 Days business days to your concern."
472,"PE14-030","CAS-3460207-J1B0W5","2013-10-30 19:44:52",,"CASE","CUST SAY:....-THERE STEERING WENT OUT ON THE VEHICLE WHILE CUST WAS ON THE HIGHWAY WITH A CHILD IN THE CAR....-DEALER COVERED THE COST, ALL BUT $500..-CUST SAYS THIS IS A SAFETY DEFECT AND FORD SHOULD HAVE TO COVER THE REST....-DEALER TOLD CUST THAT THE $500 WAS A DEDUCTIBLE AS HE RAN IT AS A WARRANTY....-CUST FEELS FORD SHOULD INITIATE A RECALL AS THIS IS A SAFETY CONCERN AND THERE ARE SO MANY OUT THERE..............DLR INFO:....Young Ford..5411 North Tryon St...Charlotte, NC 28213..(800) 997-9348 ......CRC ADVISED:....Thank you for providing Ford Motor Company with your comments; your opinions are valuable to us. I have documented your experience and will forward your information to the marketing department."
517,"PE14-030","CAS-3573071-Y1T7Z8","2013-11-21 18:34:16",,"CASE","LTR DATED 11/15....SINCE PURCHS CUST HAS EXP'D A WHEEZING NOISE THAT IS STILL PRESENT....DASHBOARD LIGHTS INTERMITTENLY COMES ON AND GOES OFF....TRANS IS HAVING AN ISSUE BUT DLR SAYS ITS NORMAL....BATTERY WAS RECENTLY CHANGED....POWER STEERING FAILED....CLICKING NOISE IN THE AC UNIT....MOONROOF WAS LEAKING....ALL WORK HAS BEEN DONE UNDER WARRANTY BUT WHAT WILL HAPPEN WHEN IT RUNS OUT....NEG PRODCT LTR"
518,"PE14-030","CAS-3573071-Y1T7Z8","2013-11-21 18:37:39",,"CASE","MARY PITTS.xml"
524,"PE14-030","CAS-3619785-Q4K6H5","2013-12-02 22:07:54",,"CASE","========Customer Says========..-consumer safety report....-service pwr steering adv. track came on ....-cust couldn't move steering wheel ..-veh is parked in driveway..-happened twice ..-has not been to dlr ....========CRC Says============..-adv. will document as negative feedback due to product and safety of veh ....adv. to take veh to a ford dlrshp to have them look into concern to see the issue"
591,"PE14-030","MRS-17948200910796 30350010","2011-01-14 21:00:11",,"705","CUSTOMER SAID: 1. DATE OF THE ACCIDENT1/8/112. WHAT THE CUSTOMER IS ALLEGING THE PRODUCT DEFECT IS THAT CAUSED ACCIDENT-LAST WEEK AFTER DRIVING THROUGH THE SNOW A LIGHT CAME ON STATING SERVICE POWER STEERING SOON-AFTER THAT THE STEERING WHEEL LOCKED UP AND CUST ENDED UP HITTING INTO A CURB-DLR TOLD CUST THAT THE ISSUE HAPPENED BECAUSE HE HIT A CURB3. IF THERE WERE ANY INJURIES SUSTAINED-CUST IS HAVING SOME BACK ISSUES AFTER INCIDENT4. LOCATION OF THE VEHICLE WHEN THE ACCIDENT OCCURRED-CUST WAS DRIVING HWY 2065. WHETHER OR NOT THERE WAS A POLICE REPORT FILED.-NO6. IF A POLICE REPORT WAS FILED, WHAT THE FINDINGS WERE.-NA7. THE POLICE REPORT NUMBER AND THE CITY OR COUNTY IN WHICH THE REPORT WAS FILED.-NA8. WHETHER OR NOT THE CUSTOMER HAS FILED A CLAIM WITH THEIR INSURANCE COMPANY.-THE CUST OPENED A CLAIM WITH INSURANCE AND INSURANCE TOLD CUST TO CALL CRC9. IF A CLAIM HAS BEEN FILED WITH THE INSURANCE COMPANY, WHAT IS THE STATUS OF THE CLAIM.-TOLD CUST TO SPEAK WITH FORD ABOUT ISSUE BEFORE THEY WENT FURTHER INTO10. WHETHER OR NOT THE VEHICLE IS REPAIRABLE.IT IS REPAIRABLE11. NAME AND ADDRESS OF CUSTOMER'S ATTORNEY (ONLY IF THE CUSTOMER MENTIONS THEY HAVE SOUGHT ONE).NA12. WHAT THE CUSTOMER IS SEEKING -CUST IS LOOKING FOR FORD TO FIX THE CONCERNDEALER SAID: MAGARINO FORD, LINCOLN MERCURY375 ROUTE #23 NORTHSUSSEX, NJ 07461TEL:(973) 702-8000CRC ADVISED: I WILL FORWARD YOUR INFORMATION TO FORD'S OFFICE OF THE GENERAL COUNSEL. YOU SHOULD RECEIVE A WRITTEN RESPONSE WITHIN 15 BUSINESS DAYS TO YOUR CONCERN.NOTE TO CCR: REMEMBER TO VERIFY ALL CUSTOMER CONTACT INFORMATION BEFORE SENDING ISSUE.-ADVISED CUST OF ABOVE"
638,"PE14-030","CAS-3909162-N2K8M6","2014-01-31 21:39:54",,"CASE","CAS-3909162-N2K8M6..-PLS SEE ATTACHED EMAIL....-CUST SAYS EVER SINCE I PURCHASED THE CAR I HAVE TO HAVE THE BATT REPLACED, RACK AND PINION FIXED/REPLACED, TRANSMISSION ISSUES..-VERY DISPLEASED W/ FORD QUALITY..-I WILL BE SELLING THIS CAR AS SOON AS THE WARRANTY IS EXPIRED....**INBOUND PHRASEOLOGY..Thank you for providing Ford Motor Company with your comments; your opinions are valuable to us. I have documented your experience and will forward your information to the marketing department.....**CRC ADV:..SENT CUST MODIFIED SRT/S: Feedback Negative Vehicle Quality and Part Durability"
643,"PE14-030","CAS-3925826-Q4T3F2","2014-02-04 23:27:15",,"CASE","CUST SAYS:..Son was driving in October, turned steering wheel hard to avoid hitting deer, went thru guard rail and crashed diver side head on into a tree and back door driver ΓÇô only the passenger side airbags deployed, none on the driver side. Steering was repair two weeks prior, why did the airbags not deploy? ....Accidents ..1. Were any injuries sustained? YES..- Please provide the first and last name of all injured parties. (REDACTED), driver/owner. (REDACTED) passenger front..2. What are you seeking from Ford Motor Company? Answer of why airbags did not deploy..- Compensation/Financial Reimbursement - Proceed with opening a OGC Legal Case..- Not Sure (customer unsure of what they want from FMC) - Proceed with opening a OGC Legal Case..- Nothing - just called Ford to advise us of the accident/fire. ..a) If the answer is nothing and no injuries were sustained, an OGC legal case should not be run. Follow the Feedback/Product/Negative or Positive case classification path. ..b) If the answer is nothing and injuries were sustained, an OGC legal case is required ..3. What was the date of the accident? ΓÇ£I think Oct 13 or 18 2013ΓÇ¥..4. What product defect is alleged to have caused the accident? When deer jumped out, jerking wheel hard to left broke steering (that had recently been at non-ford sho for replaced electronic steering rack.) ..5. What is the City and State where the accident occurred?..Vineland NJ..6. Was a police report filed? Yes..7. If a police report was filed, what were the findings? DoesnΓÇÖt know. ..8. What is the police report number and in what city and county was the report filed? No number. Vineland, Cumbling County NJ..9. Has the customer filed a claim with their Insurance Company? Yes..10. If a claim has been filed with the insurance company, what is the status of the claim? Caller does not have information. ..11. Is the vehicle repairable? Totaled to caller (who is ownerΓÇÖs father) ..12. What is the name and address of customer's attorney? (only if the customer mentions they have sought one)..13. What mailing address would you like our Office of General Council to send your written response to? (You must ..document the full address in the case Notes)..Caller, the ownerΓÇÖs father is wanting to know if airbags where defected. ..(REDACTED)..(REDACTED)..Vineland NJ (REDACTED)..PER CUST, DRLSH SAYS: ..01254..CRC ADVISED"
644,"PE14-030","CAS-3925826-Q4T3F2","2014-02-04 23:34:31",,"CASE","PER CUST, DLRHSP SAYS: ..n/a - towed to wrecker's yard, then to father's home where it is still sitiing. ....CRC ADVISED:..if the airbag lights were on, the drlshp could have ran codes to see if there was an issue when vehicle was there prior to going to non-Ford shop to have work completed on your son's non-Ford ESC. ..I will forward your information to Ford's Office of the General Counsel. Your son should receive a written response within 15 Days business days to your concern."
645,"PE14-030","CAS-3925826-Q4T3F2","2014-02-04 23:37:35",,"CASE","caller delegate father wants his son contacted in regards to this, so it is his son's info listed in the notes. (owner is the caller's son. Both are (REDACTED). Father goes my Jr and his son is (REDACTED) III"
646,"PE14-030","CAS-3925826-Q4T3F2","2014-02-04 23:52:51",,"CASE","Question #2 clarification: What are you seeking from FMC? ANSWER - why didn't airbags on drivers side deploy?"
647,"PE14-030","CAS-3925826-Q4T3F2","2014-02-06 20:05:27",,"CASE","CRC:....Per email from my TL, OGC is advising the cust work with his dlrshp/repair shop and insurance company to determine why the airbags did not deploy. ....Delegate Father (REDACTED) called in behalf of CUST (REDACTED) and requested we communicate w/CUST. ....OBC to number for CUST Mr Teitz III and left VM to call us back for updated notes/information on this case. ....NEXT AGENT - Please advise per 1st paragraph in this note. Thank you!"
663,"PE14-030","CAS-3948813-L7B7B5","2014-02-17 15:26:18",,"CASE","May Beck.doc"
664,"PE14-030","CAS-3948813-L7B7B5","2014-02-17 15:26:23",,"CASE","LETTER DATED FEB 1 2014..CUST SAYS ..I bought this car with the thought that would be much safer than the old Buick i was driving. After driving the car for 2 months I lost power steering completely. I ended up putting a brand new alternator and finally a battery. Dlr took the car back and replaced it with a 2013 Century.....As of today I have not received anything back for the cost of the alternator. They did send me a check for half of the cost. They thought it was an easy sell because i am 77 years old....CRC ADVISED..Cust sent receipts from independent garage and CSP 13N03...Send letter: Issue must be resolved between cust and dlr."
678,"PE14-030","CAS-3974812-M5N7H6","2014-02-18 14:34:59",,"CASE","Sheila Howell.doc"
679,"PE14-030","CAS-3974812-M5N7H6","2014-02-18 14:35:03",,"CASE","LETTER DATED FEB 10 2014..CUST SAYS .. I purchased my veh on 4/29/11. Due to multiple repairs during the past almost 3 years I am asking you consider granting me an extended warranty from 3/36000 to 5/60000 miles....CRC ADVISED..We sincerely regret the service concerns you have experienced with your 2011 Ford Fusion. While we believe your experience to be far from typical of Ford products, we certainly apologize for the inconvenience you have been caused as a result.....We are always willing to consider individual requests for assistance. However we must limits on our warranty adjustment policy. We regret to advise you that we are unable to grant you an extended warranty. ....We appreciate you as a Ford customer. We are sorry that we could not meet your expectation."
680,"PE14-030","CAS-3974812-M5N7H6","2014-02-18 14:37:07",,"CASE","adding symptoms described by cust: ..-at 8800 miles veh lost power steering..-at 10 584 miles , dead battery..-at 16,419 miles rack & pinion had to be replaced..-at 17, 842 miles ball joints had to be replaced"
681,"PE14-030","CAS-3976671-D1S5Y5","2014-02-15 22:36:33",,"CASE","CUST SAYS:..Cust is concerned by the quality issues that many of Ford vehicles still have, cust have experienced multiple issues in the past with his 2011 Fusion and is upset with the quality. Cust states that as a shareholder, he appreciate the sales gains, but question how Ford can maintain its customers in the future with such issues. I hope Ford will focus more attention on the quality of its vehicles in the future....PER CUST, DLR SAYS:..n/a....CRC ADVISED:..Adv that all comments received at the Customer Relationship Center are documented and shared with engineering in order to continually improve the quality of our vehicles. ......NOTE:..-did not check initial contacted due to system error"
